1;foxnews/food-drink/boston-market-nashville-hot-chicken-sandwich-menu-items;Boston Market debuts 'Nashville Hot' chicken sandwich, other menu items in fast food war;negative;foxnews;january 2021
2;foxnews/us/indianapolis-mass-murder-police-crime-family;Chilling details revealed in Indianapolis 'mass murder' that left 6 dead: 'They killed my family';negative;foxnews;january 2021
3;CNN/2021/01/14/economy/china-trade-surplus-intl-hnk/index.html;China is winning the trade war and its exports have never been higher;negative;CNN;january 2021
4;foxnews/politics/dr-fauci-vaccine-availability-media-relationship-trump;Dr. Fauci pressed on vaccine availability, asked whether media focuses too much on relationship with Trump;negative;foxnews;january 2021
5;foxnews/us/mobile-ministry-van-carjacking-attack-michigan;Good Samaritan whose van filled with food for needy was stolen has a message for perpetrators;negative;foxnews;january 2021
6;CNN/2021/01/14/europe/belgium-protest-arrests-intl/index.html;More than 100 arrested after protests over a Black man's death in police custody;negative;CNN;january 2021
7;foxnews/world/serial-killer-invited-to-get-covid-vaccine-before-elderly-ignites-outrage;Serial killer invited to get COVID vaccine before elderly ignites outrage;negative;foxnews;january 2021
8;CNN/2021/01/23/asia/tse-chi-lop-arrest-intl-hnk/index.html;Tse Chi Lop, one of the world's biggest drug dealers, arrested in Amsterdam;negative;CNN;january 2021
9;https://edition.cnn.com/2020/02/08/us/texas-high-school-boy-shot-bullying/index.html;A 16 year old boy broke up a bullying incident. Days later, police say he was fatally shot by one of the boys involved;negative;CNN;february 2020
10;https://adage.com/article/btob/bad-news-newspapers/273495;Bad news for newspapers;negative;AdAge;January 2020
11;https://www.reuters.com/article/us-philippines-volcano-mass/evacuees-pray-for-safety-at-sunday-mass-amid-philippine-volcano-threat-idUSKBN1ZI0BN;Evacuees pray for safety at Sunday mass amid Philippine volcano threat;negative;Reuters;february 2020
12;https://www.sunnyskyz.com/blog/2984/Family-Writes-Emotional-Goodbye-To-Marine-MWD-Aura;Family Writes Emotional Goodbye To Marine MWD Aura;negative;sunnyskyz.com;february 2020
13;https://www.forbes.com/sites/noahkirsch/2020/01/30/investors-are-cheering-warren-buffetts-newspaper-sale-thats-bad-news-for-the-papers/;Investors Are Cheering Warren Buffett?s Newspaper Sale. That?s Bad News For The Papers. ;negative;Forbes;January 2020
14;https://www.bostonmagazine.com/news/2019/11/01/end - of - local - news/;No News Is Bad News;negative;Boston magazine;January 2020
15;https://voxeu.org/article/how-bad-news-can-harm-economic-development;Terror and tourism: How bad news can harm economic development;negative;VOXÿÿCEPR Policy Portal;february 2020
16;CNN/2018/04/19/world/cnnheroes-brisa-de-angulo-a-breeze-of-hope-foundation/index.html;At 17, this sexual abuse survivor set out to fix a broken system;positive;CNN;january 2021
17;CNN/travel/article/metro-cityring-copenhagen-denmark/index.html;Copenhagen's new Metro is a thing of beauty;positive;CNN;january 2021
18;CNN/style/article/ancient-egypt-beauty-ritual-artsy/index.html;How ancient Egyptian cosmetics influenced our beauty rituals;positive;CNN;january 2021
19;CNN/travel/article/kenyan-food-dishes/index.html;Kenya's best food is a kaleidoscope of flavors;positive;CNN;january 2021
20;CNN/travel/article/luxury-bars-budapest/index.html;The best luxury bars in Budapest;positive;CNN;january 2021
21;CNN/travel/article/qwow-finger-lakes-upstate-new-york-spc-intl/index.html;The place that helped inspire American democracy;positive;CNN;january 2021
22;foxnews/sports/vanessa-bryant-anniversary-kobe-gianna-letter-friend;Vanessa Bryant honors anniversary of Kobe Bryant, daughter Gianna's deaths with letter from Gigi's best friend;positive;foxnews;january 2021
23;http://financebloghome.site/composing-an-extraordinary-business-story-how-more-intelligent-money-from-europe-is-boosting-little-firms/;Composing an extraordinary business story: how more intelligent money from Europe is boosting little firms;positive;Morphis;January 2020
24;https://www.goodnewsnetwork.org/ev-completes-uks-longest-autonomous-journey/;Electric Car Completes UK?s Longest and Most Complex Autonomous Journey;positive;www.goodnewsnetwork.org;January 2020
25;https://www.goodnewsnetwork.org/crops-thrive-underneath-of-solar-panels/;Exciting New Study Says That Crops Thrive Underneath Solar Panels?and the Panels Produce More Energy;positive;good news network;february 2020
26;https://www.msn.com/en-us/news/good-news/ninety-year-old-chef-of-the-poor-cooks-it-up-for-romes-homeless/ar-BBZImsm;"Ninety-year-old ""chef of the poor"" cooks it up for Rome's homeless";positive;reuters;January 2020
27;https://www.goodnewsnetwork.org/johns-hopkins-device-pulls-record-amounts-of-water-from-thin-air/;Researchers Develop Ultra-Absorbent Device That Can Pull Record Amounts of Water Out of Thin Air;positive;www.goodnewsnetwork.org;January 2020
28;https://www.goodnewsnetwork.org/israeli-plastic-and-waste-recycling-method-kills-two-birds-with-one-stone/;Revolutionary New Recycling Method for Plastic and Waste is Killing Two Birds With One Stone;positive;www.goodnewsnetwork.org;January 2020
29;https://www.msn.com/en-us/news/good-news/strangers-on-plane-throw-baby-shower-for-couple-flying-home-with-adopted-newborn/ar-BB102pNk;Strangers on plane throw baby shower for couple flying home with adopted newborn;positive;msn.com;february 2020
30;https://www.msn.com/en-us/news/good-news/volunteer-visits-90-year-old-woman-and-friendship-grows/ar-BBZDVP3;Volunteer visits 90-year-old woman and friendship grows;positive;msn.com;January 2020
